Model,Design_Cell,Method_Variant,Metric,Datasets_Evaluated,Mean_mu,LCL_mu_minus_2sig,UCL_mu_plus_2sig,Pct_In_Limits,Pct_Out_Limits,"Control_Limits_[LCL, UCL]"
ModelC_Complex,"p=6, N=30",Beta_eta_200,Hoffmann Complexity,198,1.0076,0.9524,1.0627,95.96,4.04,"[0.9524, 1.0627]"
ModelC_Complex,"p=6, N=30",Beta_eta_200,Kaiser IFS,198,0.9937,0.9469,1.0404,96.46,3.54,"[0.9469, 1.0404]"
ModelC_Complex,"p=6, N=30",Beta_eta_400,Hoffmann Complexity,198,1.0039,0.9652,1.0426,96.46,3.54,"[0.9652, 1.0426]"
ModelC_Complex,"p=6, N=30",Beta_eta_400,Kaiser IFS,198,0.9965,0.9621,1.031,95.96,4.04,"[0.9621, 1.0310]"
ModelC_Complex,"p=10, N=50",PAF,Hoffmann Complexity,155,1.3717,1.1972,1.5461,96.13,3.87,"[1.1972, 1.5461]"
ModelC_Complex,"p=10, N=50",PAF,Kaiser IFS,155,0.6807,0.5624,0.799,94.19,5.81,"[0.5624, 0.7990]"
ModelC_Complex,"p=10, N=50",Beta_eta_25,Hoffmann Complexity,155,1.2551,1.0188,1.4915,96.77,3.23,"[1.0188, 1.4915]"
ModelC_Complex,"p=10, N=50",Beta_eta_25,Kaiser IFS,155,0.8169,0.6171,1.0168,95.48,4.52,"[0.6171, 1.0168]"
ModelC_Complex,"p=10, N=50",Beta_eta_50,Hoffmann Complexity,155,1.2198,0.9927,1.4469,96.13,3.87,"[0.9927, 1.4469]"
ModelC_Complex,"p=10, N=50",Beta_eta_50,Kaiser IFS,155,0.844,0.6716,1.0164,96.77,3.23,"[0.6716, 1.0164]"
ModelC_Complex,"p=10, N=50",Beta_eta_100,Hoffmann Complexity,155,1.144,0.925,1.3631,96.77,3.23,"[0.9250, 1.3631]"
ModelC_Complex,"p=10, N=50",Beta_eta_100,Kaiser IFS,155,0.9025,0.7608,1.0442,94.84,5.16,"[0.7608, 1.0442]"
